АдресПолучателя;ГородПолучателя;ДатаИсполнения;ДатаНазначения;ДатаРазмещения;Доставка;ИндексПолучателя;КодЗаказа;КодКлиента;КодСотрудника;НазваниеПолучателя;ОбластьПолучателя;СтоимостьДоставки;СтранаПолучателя
Torikatu 38;Оулу;16.07.96 08:00;01.08.96 08:00;04.07.96 08:00;2;90110;10248;WARTH;5;Wartian Herkku;;32,38;Финляндия
Luisenstr. 48;Мюнстер;10.07.96 08:00;16.08.96 08:00;05.07.96 08:00;1;44087;10249;TOMSP;6;Toms Spezialitaten;;11,61;Германия
Rua do Paco, 67;Рио-де-Жанейро;12.07.96 08:00;05.08.96 08:00;08.07.96 08:00;2;05454-876;10250;HANAR;4;Hanari Carnes;RJ;65,83;Бразилия
2, rue du Commerce;Лион;15.07.96 08:00;05.08.96 08:00;08.07.96 08:00;1;69004;10251;VICTE;3;Victuailles en stock;;41,34;Франция
Boulevard Tirou, 255;Шарлеруа;11.07.96 08:00;06.08.96 08:00;09.07.96 08:00;2;B-6000;10252;SUPRD;4;Supremes delices;;51,3;Бельгия
Rua do Paco, 67;Рио-де-Жанейро;16.07.96 08:00;24.07.96 08:00;10.07.96 08:00;2;05454-876;10253;HANAR;3;Hanari Carnes;RJ;58,17;Бразилия
Hauptstr. 31;Берн;23.07.96 08:00;08.08.96 08:00;11.07.96 08:00;2;3012;10254;CHOPS;5;Chop-suey Chinese;;22,98;Швейцария
Starenweg 5;Женева;15.07.96 08:00;09.08.96 08:00;12.07.96 08:00;3;1204;10255;RICSU;9;Richter Supermarkt;;148,33;Швейцария
Rua do Mercado, 12;Ресенде;17.07.96 08:00;12.08.96 08:00;15.07.96 08:00;2;08737-363;10256;WELLI;3;Wellington Importadora;SP;13,97;Бразилия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;22.07.96 08:00;13.08.96 08:00;16.07.96 08:00;3;5022;10257;HILAA;4;HILARION-Abastos;Tochira;81,91;Венесуэлла
Kirchgasse 6;Грасс;23.07.96 08:00;14.08.96 08:00;17.07.96 08:00;1;8010;10258;ERNSH;1;Ernst Handel;;140,51;Австрия
